#r	psi(r)	exact_f0(r)
0.0134532	0.0132734	0.0132734
0.0135001	0.0133191	0.0133191
0.013547	0.0133647	0.0133647
0.0135939	0.0134104	0.0134104
0.0136409	0.0134561	0.0134561
0.0136878	0.0135017	0.0135017
0.0137347	0.0135474	0.0135474
0.0137816	0.013593	0.013593
0.0138286	0.0136386	0.0136386
0.0138755	0.0136843	0.0136843
0.0139224	0.0137299	0.0137299
0.0139693	0.0137755	0.0137755
0.0140163	0.0138212	0.0138212
0.0140632	0.0138668	0.0138668
0.0141101	0.0139124	0.0139124
0.014157	0.013958	0.013958
0.014204	0.0140036	0.0140036
0.0142509	0.0140493	0.0140493
0.0142978	0.0140949	0.0140949
0.0143448	0.0141405	0.0141405
0.0143917	0.0141861	0.0141861
0.0144386	0.0142316	0.0142316
0.0144856	0.0142772	0.0142772
0.0145325	0.0143228	0.0143228
0.0145794	0.0143684	0.0143684
0.0146264	0.014414	0.014414
0.0146733	0.0144596	0.0144596
0.0147202	0.0145051	0.0145051
0.0147672	0.0145507	0.0145507
0.0148141	0.0145962	0.0145962
0.014861	0.0146418	0.0146418
0.014908	0.0146874	0.0146874
0.0149549	0.0147329	0.0147329
0.0150018	0.0147785	0.0147785
0.0150488	0.014824	0.014824
0.0150957	0.0148695	0.0148695
0.0151426	0.0149151	0.0149151
0.0151896	0.0149606	0.0149606
0.0152365	0.0150061	0.0150061
0.0152835	0.0150517	0.0150517
0.0153304	0.0150972	0.0150972
0.0153774	0.0151427	0.0151427
0.0154243	0.0151882	0.0151882
0.0154712	0.0152337	0.0152337
0.0155182	0.0152792	0.0152792
0.0155651	0.0153247	0.0153247
0.0156121	0.0153702	0.0153702
0.015659	0.0154157	0.0154157
0.015706	0.0154612	0.0154612
0.0157529	0.0155067	0.0155067
0.0157998	0.0155522	0.0155522
0.0158468	0.0155977	0.0155977
0.0158937	0.0156431	0.0156431
0.0159407	0.0156886	0.0156886
0.0159876	0.0157341	0.0157341
0.0160346	0.0157795	0.0157795
0.0160815	0.015825	0.015825
0.0161285	0.0158704	0.0158704
0.0161754	0.0159159	0.0159159
0.0162224	0.0159613	0.0159613
0.0162693	0.0160068	0.0160068
0.0163163	0.0160522	0.0160522
0.0163632	0.0160977	0.0160977
0.0164102	0.0161431	0.0161431
0.0164571	0.0161885	0.0161885
0.0165041	0.016234	0.016234
0.0165511	0.0162794	0.0162794
0.016598	0.0163248	0.0163248
0.016645	0.0163702	0.0163702
0.0166919	0.0164156	0.0164156
0.0167389	0.016461	0.016461
0.0167858	0.0165064	0.0165064
0.0168328	0.0165518	0.0165518
0.0168798	0.0165972	0.0165972
0.0169267	0.0166426	0.0166426
0.0169737	0.016688	0.016688
0.0170206	0.0167334	0.0167334
0.0170676	0.0167788	0.0167788
0.0171146	0.0168241	0.0168241
0.0171615	0.0168695	0.0168695
0.0172085	0.0169149	0.0169149
0.0172554	0.0169602	0.0169602
0.0173024	0.0170056	0.0170056
0.0173494	0.017051	0.017051
0.0173963	0.0170963	0.0170963
0.0174433	0.0171417	0.0171417
0.0174903	0.017187	0.017187
0.0175372	0.0172324	0.0172324
0.0175842	0.0172777	0.0172777
0.0176312	0.017323	0.017323
0.0176781	0.0173684	0.0173684
0.0177251	0.0174137	0.0174137
0.0177721	0.017459	0.017459
0.017819	0.0175043	0.0175043
0.017866	0.0175496	0.0175496
0.017913	0.017595	0.017595
0.0179599	0.0176403	0.0176403
0.0180069	0.0176856	0.0176856
0.0180539	0.0177309	0.0177309
0.0181009	0.0177762	0.0177762
0.0181478	0.0178215	0.0178215
0.0181948	0.0178668	0.0178668
0.0182418	0.017912	0.017912
0.0182888	0.0179573	0.0179573
0.0183357	0.0180026	0.0180026
0.0183827	0.0180479	0.0180479
0.0184297	0.0180931	0.0180931
0.0184767	0.0181384	0.0181384
0.0185236	0.0181837	0.0181837
0.0185706	0.0182289	0.0182289
0.0186176	0.0182742	0.0182742
0.0186646	0.0183194	0.0183194
0.0187116	0.0183647	0.0183647
0.0187585	0.0184099	0.0184099
0.0188055	0.0184552	0.0184552
0.0188525	0.0185004	0.0185004
0.0188995	0.0185456	0.0185456
0.0189465	0.0185909	0.0185909
0.0189934	0.0186361	0.0186361
0.0190404	0.0186813	0.0186813
0.0190874	0.0187265	0.0187265
0.0191344	0.0187717	0.0187718
0.0191814	0.018817	0.018817
0.0192284	0.0188622	0.0188622
0.0192754	0.0189074	0.0189074
0.0193223	0.0189526	0.0189526
0.0193693	0.0189978	0.0189978
0.0194163	0.019043	0.019043
0.0194633	0.0190881	0.0190881
0.0195103	0.0191333	0.0191333
0.0195573	0.0191785	0.0191785
0.0196043	0.0192237	0.0192237
0.0196513	0.0192689	0.0192689
0.0196983	0.019314	0.019314
0.0197452	0.0193592	0.0193592
0.0197922	0.0194044	0.0194044
0.0198392	0.0194495	0.0194495
0.0198862	0.0194947	0.0194947
0.0199332	0.0195398	0.0195398
0.0199802	0.019585	0.019585
0.0200272	0.0196301	0.0196301
0.0200742	0.0196752	0.0196752
0.0201212	0.0197204	0.0197204
0.0201682	0.0197655	0.0197655
0.0202152	0.0198106	0.0198106
0.0202622	0.0198558	0.0198558
0.0203092	0.0199009	0.0199009
0.0203562	0.019946	0.019946
0.0204032	0.0199911	0.0199911
0.0204502	0.0200362	0.0200362
0.0204972	0.0200813	0.0200813
0.0205442	0.0201264	0.0201264
0.0205912	0.0201715	0.0201715
0.0206382	0.0202166	0.0202166
0.0206852	0.0202617	0.0202617
0.0207322	0.0203068	0.0203068
0.0207792	0.0203519	0.0203519
0.0208262	0.020397	0.020397
0.0208732	0.020442	0.020442
0.0209202	0.0204871	0.0204871
0.0209672	0.0205322	0.0205322
0.0210142	0.0205772	0.0205772
0.0210612	0.0206223	0.0206223
0.0211083	0.0206674	0.0206674
0.0211553	0.0207124	0.0207124
0.0212023	0.0207575	0.0207575
0.0212493	0.0208025	0.0208025
0.0212963	0.0208476	0.0208476
0.0213433	0.0208926	0.0208926
0.0213903	0.0209376	0.0209376
0.0214373	0.0209827	0.0209827
0.0214843	0.0210277	0.0210277
0.0215314	0.0210727	0.0210727
0.0215784	0.0211177	0.0211177
0.0216254	0.0211627	0.0211627
0.0216724	0.0212078	0.0212078
0.0217194	0.0212528	0.0212528
0.0217664	0.0212978	0.0212978
0.0218134	0.0213428	0.0213428
0.0218605	0.0213878	0.0213878
0.0219075	0.0214328	0.0214328
0.0219545	0.0214777	0.0214777
0.0220015	0.0215227	0.0215227
0.0220485	0.0215677	0.0215677
0.0220956	0.0216127	0.0216127
0.0221426	0.0216577	0.0216577
0.0221896	0.0217026	0.0217026
0.0222366	0.0217476	0.0217476
0.0222836	0.0217926	0.0217926
0.0223307	0.0218375	0.0218375
0.0223777	0.0218825	0.0218825
0.0224247	0.0219274	0.0219274
0.0224717	0.0219724	0.0219724
0.0225188	0.0220173	0.0220173
0.0225658	0.0220623	0.0220623
0.0226128	0.0221072	0.0221072
0.0226598	0.0221521	0.0221521
0.0227069	0.0221971	0.0221971
0.0227539	0.022242	0.022242
0.0228009	0.0222869	0.0222869
0.022848	0.0223318	0.0223318
0.022895	0.0223768	0.0223768
0.022942	0.0224217	0.0224217
0.022989	0.0224666	0.0224666
0.0230361	0.0225115	0.0225115
0.0230831	0.0225564	0.0225564
0.0231301	0.0226013	0.0226013
0.0231772	0.0226462	0.0226462
0.0232242	0.0226911	0.0226911
0.0232712	0.0227359	0.0227359
0.0233183	0.0227808	0.0227808
0.0233653	0.0228257	0.0228257
0.0234123	0.0228706	0.0228706
0.0234594	0.0229154	0.0229154
0.0235064	0.0229603	0.0229603
0.0235535	0.0230052	0.0230052
0.0236005	0.02305	0.02305
0.0236475	0.0230949	0.0230949
0.0236946	0.0231397	0.0231397
0.0237416	0.0231846	0.0231846
0.0237887	0.0232294	0.0232294
0.0238357	0.0232743	0.0232743
0.0238827	0.0233191	0.0233191
0.0239298	0.0233639	0.0233639
0.0239768	0.0234088	0.0234088
0.0240239	0.0234536	0.0234536
0.0240709	0.0234984	0.0234984
0.024118	0.0235432	0.0235432
0.024165	0.0235881	0.0235881
0.0242121	0.0236329	0.0236329
0.0242591	0.0236777	0.0236777
0.0243061	0.0237225	0.0237225
0.0243532	0.0237673	0.0237673
0.0244002	0.0238121	0.0238121
0.0244473	0.0238569	0.0238569
0.0244943	0.0239017	0.0239017
0.0245414	0.0239464	0.0239464
0.0245884	0.0239912	0.0239912
0.0246355	0.024036	0.024036
0.0246825	0.0240808	0.0240808
0.0247296	0.0241255	0.0241255
0.0247766	0.0241703	0.0241703
0.0248237	0.0242151	0.0242151
0.0248708	0.0242598	0.0242598
0.0249178	0.0243046	0.0243046
0.0249649	0.0243493	0.0243493
0.0250119	0.0243941	0.0243941
0.025059	0.0244388	0.0244388
0.025106	0.0244836	0.0244836
0.0251531	0.0245283	0.0245283
0.0252002	0.024573	0.024573
0.0252472	0.0246178	0.0246178
0.0252943	0.0246625	0.0246625
0.0253413	0.0247072	0.0247072
0.0253884	0.0247519	0.0247519
0.0254355	0.0247966	0.0247966
0.0254825	0.0248414	0.0248414
0.0255296	0.0248861	0.0248861
0.0255766	0.0249308	0.0249308
0.0256237	0.0249755	0.0249755
0.0256708	0.0250202	0.0250202
0.0257178	0.0250649	0.0250649
0.0257649	0.0251095	0.0251095
0.025812	0.0251542	0.0251542
0.025859	0.0251989	0.0251989
0.0259061	0.0252436	0.0252436
0.0259532	0.0252883	0.0252883
0.0260002	0.0253329	0.0253329
0.0260473	0.0253776	0.0253776
0.0260944	0.0254223	0.0254223
0.0261414	0.0254669	0.0254669
0.0261885	0.0255116	0.0255116
0.0262356	0.0255562	0.0255562
0.0262827	0.0256009	0.0256009
0.0263297	0.0256455	0.0256455
0.0263768	0.0256902	0.0256902
0.0264239	0.0257348	0.0257348
0.0264709	0.0257794	0.0257794
0.026518	0.0258241	0.0258241
0.0265651	0.0258687	0.0258687
0.0266122	0.0259133	0.0259133
0.0266593	0.0259579	0.0259579
0.0267063	0.0260025	0.0260025
0.0267534	0.0260471	0.0260471
0.0268005	0.0260918	0.0260918
0.0268476	0.0261364	0.0261364
0.0268946	0.026181	0.026181
0.0269417	0.0262256	0.0262256
0.0269888	0.0262701	0.0262701
0.0270359	0.0263147	0.0263147
0.027083	0.0263593	0.0263593
0.02713	0.0264039	0.0264039
0.0271771	0.0264485	0.0264485
0.0272242	0.0264931	0.0264931
0.0272713	0.0265376	0.0265376
0.0273184	0.0265822	0.0265822
0.0273655	0.0266268	0.0266268
0.0274126	0.0266713	0.0266713
0.0274596	0.0267159	0.0267159
0.0275067	0.0267604	0.0267604
0.0275538	0.026805	0.026805
0.0276009	0.0268495	0.0268495
0.027648	0.0268941	0.0268941
0.0276951	0.0269386	0.0269386
0.0277422	0.0269831	0.0269831
0.0277893	0.0270277	0.0270277
0.0278364	0.0270722	0.0270722
0.0278834	0.0271167	0.0271167
0.0279305	0.0271612	0.0271612
0.0279776	0.0272057	0.0272057
0.0280247	0.0272502	0.0272502
0.0280718	0.0272948	0.0272948
0.0281189	0.0273393	0.0273393
0.028166	0.0273838	0.0273838
0.0282131	0.0274283	0.0274283
0.0282602	0.0274727	0.0274727
0.0283073	0.0275172	0.0275172
0.0283544	0.0275617	0.0275617
0.0284015	0.0276062	0.0276062
0.0284486	0.0276507	0.0276507
0.0284957	0.0276952	0.0276952
0.0285428	0.0277396	0.0277396
0.0285899	0.0277841	0.0277841
0.028637	0.0278286	0.0278286
0.0286841	0.027873	0.027873
0.0287312	0.0279175	0.0279175
0.0287783	0.0279619	0.0279619
0.0288254	0.0280064	0.0280064
0.0288725	0.0280508	0.0280508
0.0289196	0.0280953	0.0280953
0.0289667	0.0281397	0.0281397
0.0290138	0.0281841	0.0281841
0.0290609	0.0282286	0.0282286
0.029108	0.028273	0.028273
0.0291552	0.0283174	0.0283174
0.0292023	0.0283618	0.0283618
0.0292494	0.0284062	0.0284062
0.0292965	0.0284506	0.0284507
0.0293436	0.0284951	0.0284951
0.0293907	0.0285395	0.0285395
0.0294378	0.0285839	0.0285839
0.0294849	0.0286283	0.0286283
0.029532	0.0286727	0.0286727
0.0295792	0.028717	0.028717
0.0296263	0.0287614	0.0287614
0.0296734	0.0288058	0.0288058
0.0297205	0.0288502	0.0288502
0.0297676	0.0288946	0.0288946
0.0298147	0.0289389	0.0289389
0.0298618	0.0289833	0.0289833
0.029909	0.0290277	0.0290277
0.0299561	0.029072	0.029072
0.0300032	0.0291164	0.0291164
0.0300503	0.0291607	0.0291607
0.0300974	0.0292051	0.0292051
0.0301446	0.0292494	0.0292494
0.0301917	0.0292938	0.0292938
0.0302388	0.0293381	0.0293381
0.0302859	0.0293824	0.0293824
0.0303331	0.0294268	0.0294268
0.0303802	0.0294711	0.0294711
0.0304273	0.0295154	0.0295154
0.0304744	0.0295597	0.0295597
0.0305216	0.0296041	0.0296041
0.0305687	0.0296484	0.0296484
0.0306158	0.0296927	0.0296927
0.0306629	0.029737	0.029737
0.0307101	0.0297813	0.0297813
0.0307572	0.0298256	0.0298256
0.0308043	0.0298699	0.0298699
0.0308514	0.0299142	0.0299142
0.0308986	0.0299585	0.0299585
0.0309457	0.0300027	0.0300027
0.0309928	0.030047	0.030047
0.03104	0.0300913	0.0300913
0.0310871	0.0301356	0.0301356
0.0311342	0.0301798	0.0301798
0.0311814	0.0302241	0.0302241
0.0312285	0.0302684	0.0302684
0.0312756	0.0303126	0.0303126
0.0313228	0.0303569	0.0303569
0.0313699	0.0304011	0.0304011
0.0314171	0.0304454	0.0304454
0.0314642	0.0304896	0.0304896
0.0315113	0.0305338	0.0305338
0.0315585	0.0305781	0.0305781
0.0316056	0.0306223	0.0306223
0.0316527	0.0306665	0.0306665
0.0316999	0.0307108	0.0307108
0.031747	0.030755	0.030755
0.0317942	0.0307992	0.0307992
0.0318413	0.0308434	0.0308434
0.0318885	0.0308876	0.0308876
0.0319356	0.0309318	0.0309318
0.0319827	0.030976	0.030976
0.0320299	0.0310202	0.0310202
0.032077	0.0310644	0.0310644
0.0321242	0.0311086	0.0311086
0.0321713	0.0311528	0.0311528
0.0322185	0.031197	0.031197
0.0322656	0.0312412	0.0312412
0.0323128	0.0312853	0.0312853
0.0323599	0.0313295	0.0313295
0.0324071	0.0313737	0.0313737
0.0324542	0.0314179	0.0314179
0.0325014	0.031462	0.031462
0.0325485	0.0315062	0.0315062
0.0325957	0.0315503	0.0315503
0.0326428	0.0315945	0.0315945
0.03269	0.0316386	0.0316386
0.0327371	0.0316828	0.0316828
0.0327843	0.0317269	0.0317269
0.0328314	0.031771	0.031771
0.0328786	0.0318152	0.0318152
0.0329258	0.0318593	0.0318593
0.0329729	0.0319034	0.0319034
0.0330201	0.0319476	0.0319476
0.0330672	0.0319917	0.0319917
0.0331144	0.0320358	0.0320358
0.0331616	0.0320799	0.0320799
0.0332087	0.032124	0.032124
0.0332559	0.0321681	0.0321681
0.033303	0.0322122	0.0322122
0.0333502	0.0322563	0.0322563
0.0333974	0.0323004	0.0323004
0.0334445	0.0323445	0.0323445
0.0334917	0.0323886	0.0323886
0.0335389	0.0324327	0.0324327
0.033586	0.0324767	0.0324767
0.0336332	0.0325208	0.0325208
0.0336804	0.0325649	0.0325649
0.0337275	0.0326089	0.0326089
0.0337747	0.032653	0.032653
0.0338219	0.0326971	0.0326971
0.033869	0.0327411	0.0327411
0.0339162	0.0327852	0.0327852
0.0339634	0.0328292	0.0328292
0.0340105	0.0328733	0.0328733
0.0340577	0.0329173	0.0329173
0.0341049	0.0329613	0.0329613
0.034152	0.0330054	0.0330054
0.0341992	0.0330494	0.0330494
0.0342464	0.0330934	0.0330934
0.0342936	0.0331375	0.0331375
0.0343407	0.0331815	0.0331815
0.0343879	0.0332255	0.0332255
0.0344351	0.0332695	0.0332695
0.0344823	0.0333135	0.0333135
0.0345295	0.0333575	0.0333575
0.0345766	0.0334015	0.0334015
0.0346238	0.0334455	0.0334455
0.034671	0.0334895	0.0334895
0.0347182	0.0335335	0.0335335
0.0347653	0.0335775	0.0335775
0.0348125	0.0336215	0.0336215
0.0348597	0.0336654	0.0336654
0.0349069	0.0337094	0.0337094
0.0349541	0.0337534	0.0337534
0.0350013	0.0337974	0.0337974
0.0350484	0.0338413	0.0338413
0.0350956	0.0338853	0.0338853
0.0351428	0.0339292	0.0339292
0.03519	0.0339732	0.0339732
0.0352372	0.0340172	0.0340172
0.0352844	0.0340611	0.0340611
0.0353316	0.034105	0.034105
0.0353788	0.034149	0.034149
0.0354259	0.0341929	0.0341929
0.0354731	0.0342368	0.0342368
0.0355203	0.0342808	0.0342808
0.0355675	0.0343247	0.0343247
0.0356147	0.0343686	0.0343686
0.0356619	0.0344125	0.0344125
0.0357091	0.0344564	0.0344565
0.0357563	0.0345004	0.0345004
0.0358035	0.0345443	0.0345443
0.0358507	0.0345882	0.0345882
0.0358979	0.0346321	0.0346321
0.0359451	0.034676	0.034676
0.0359923	0.0347199	0.0347199
0.0360395	0.0347637	0.0347637
0.0360867	0.0348076	0.0348076
0.0361339	0.0348515	0.0348515
0.0361811	0.0348954	0.0348954
0.0362283	0.0349393	0.0349393
0.0362755	0.0349831	0.0349831
0.0363227	0.035027	0.035027
0.0363699	0.0350709	0.0350709
0.0364171	0.0351147	0.0351147
0.0364643	0.0351586	0.0351586
0.0365115	0.0352024	0.0352024
0.0365587	0.0352463	0.0352463
0.0366059	0.0352901	0.0352901
0.0366531	0.035334	0.035334
0.0367003	0.0353778	0.0353778
0.0367475	0.0354216	0.0354216
0.0367947	0.0354655	0.0354655
0.0368419	0.0355093	0.0355093
0.0368891	0.0355531	0.0355531
0.0369363	0.0355969	0.0355969
